REGIÃO;UF;PREÇO MÉDIO1;ANO
Região Norte;Rondônia;2,96;2011
Região Norte;Rondônia;2,952333333;2012
Região Norte;Rondônia;3,056833333;2013
Região Norte;Rondônia;3,20475;2014
Região Norte;Rondônia;3,594833333;2015
Região Norte;Rondônia;3,88325;2016
Região Norte;Rondônia;3,948583333;2017
Região Norte;Rondônia;4,493916667;2018
Região Norte;Rondônia;4,5145;2019
Região Norte;Rondônia;4,381;2020
Região Norte;Acre;3,113;2011
Região Norte;Acre;3,125083333;2012
Região Norte;Acre;3,254333333;2013
Região Norte;Acre;3,40725;2014
Região Norte;Acre;3,842;2015
Região Norte;Acre;4,092416667;2016
Região Norte;Acre;4,367583333;2017
Região Norte;Acre;4,979916667;2018
Região Norte;Acre;4,8515;2019
Região Norte;Acre;4,821545455;2020
Região Norte;Amazonas;2,776;2011
Região Norte;Amazonas;2,888916667;2012
Região Norte;Amazonas;2,992083333;2013
Região Norte;Amazonas;3,160833333;2014
Região Norte;Amazonas;3,605666667;2015
Região Norte;Amazonas;3,729416667;2016
Região Norte;Amazonas;3,805166667;2017
Região Norte;Amazonas;4,49625;2018
Região Norte;Amazonas;4,223333333;2019
Região Norte;Amazonas;4,273727273;2020
Região Norte;Roraima;2,836;2011
Região Norte;Roraima;2,8685;2012
Região Norte;Roraima;3,0085;2013
Região Norte;Roraima;3,096;2014
Região Norte;Roraima;3,560333333;2015
Região Norte;Roraima;3,882333333;2016
Região Norte;Roraima;3,759916667;2017
Região Norte;Roraima;4,257;2018
Região Norte;Roraima;4,113083333;2019
Região Norte;Roraima;3,992909091;2020
Região Norte;Pará;2,818;2011
Região Norte;Pará;2,8445;2012
Região Norte;Pará;2,982083333;2013
Região Norte;Pará;3,120416667;2014
Região Norte;Pará;3,5405;2015
Região Norte;Pará;3,98425;2016
Região Norte;Pará;4,02025;2017
Região Norte;Pará;4,490666667;2018
Região Norte;Pará;4,544666667;2019
Região Norte;Pará;4,384181818;2020
Região Norte;Amapá;2,797;2011
Região Norte;Amapá;2,706583333;2012
Região Norte;Amapá;2,848583333;2013
Região Norte;Amapá;2,964583333;2014
Região Norte;Amapá;3,34175;2015
Região Norte;Amapá;3,652833333;2016
Região Norte;Amapá;3,699416667;2017
Região Norte;Amapá;4,071583333;2018
Região Norte;Amapá;3,94875;2019
Região Norte;Amapá;3,534818182;2020
Região Norte;Tocantins;2,911;2011
Região Norte;Tocantins;2,910916667;2012
Região Norte;Tocantins;3,042916667;2013
Região Norte;Tocantins;3,120166667;2014
Região Norte;Tocantins;3,51575;2015
Região Norte;Tocantins;3,864416667;2016
Região Norte;Tocantins;3,884083333;2017
Região Norte;Tocantins;4,653166667;2018
Região Norte;Tocantins;4,570583333;2019
Região Norte;Tocantins;4,545636364;2020
Região Nordeste;Maranhão;2,648;2011
Região Nordeste;Maranhão;2,640916667;2012
Região Nordeste;Maranhão;2,823666667;2013
Região Nordeste;Maranhão;2,987666667;2014
Região Nordeste;Maranhão;3,314583333;2015
Região Nordeste;Maranhão;3,57525;2016
Região Nordeste;Maranhão;3,588083333;2017
Região Nordeste;Maranhão;4,155416667;2018
Região Nordeste;Maranhão;4,355583333;2019
Região Nordeste;Maranhão;4,194363636;2020
Região Nordeste;Piauí;2,656;2011
Região Nordeste;Piauí;2,580333333;2012
Região Nordeste;Piauí;2,717583333;2013
Região Nordeste;Piauí;2,827083333;2014
Região Nordeste;Piauí;3,262333333;2015
Região Nordeste;Piauí;3,656916667;2016
Região Nordeste;Piauí;3,649166667;2017
Região Nordeste;Piauí;4,423666667;2018
Região Nordeste;Piauí;4,53675;2019
Região Nordeste;Piauí;4,392818182;2020
Região Nordeste;Ceará;2,72;2011
Região Nordeste;Ceará;2,707333333;2012
Região Nordeste;Ceará;2,840083333;2013
Região Nordeste;Ceará;2,993;2014
Região Nordeste;Ceará;3,45175;2015
Região Nordeste;Ceará;3,908916667;2016
Região Nordeste;Ceará;3,930166667;2017
Região Nordeste;Ceará;4,499833333;2018
Região Nordeste;Ceará;4,523333333;2019
Região Nordeste;Ceará;4,403545455;2020
Região Nordeste;Rio Grande do Norte;2,717;2011
Região Nordeste;Rio Grande do Norte;2,69725;2012
Região Nordeste;Rio Grande do Norte;2,882;2013
Região Nordeste;Rio Grande do Norte;3,026333333;2014
Região Nordeste;Rio Grande do Norte;3,368083333;2015
Região Nordeste;Rio Grande do Norte;3,832416667;2016
Região Nordeste;Rio Grande do Norte;3,863583333;2017
Região Nordeste;Rio Grande do Norte;4,419083333;2018
Região Nordeste;Rio Grande do Norte;4,485666667;2019
Região Nordeste;Rio Grande do Norte;4,476636364;2020
Região Nordeste;Paraíba;2,56;2011
Região Nordeste;Paraíba;2,604083333;2012
Região Nordeste;Paraíba;2,775583333;2013
Região Nordeste;Paraíba;2,85925;2014
Região Nordeste;Paraíba;3,193;2015
Região Nordeste;Paraíba;3,658166667;2016
Região Nordeste;Paraíba;3,652333333;2017
Região Nordeste;Paraíba;4,229083333;2018
Região Nordeste;Paraíba;4,274666667;2019
Região Nordeste;Paraíba;4,065363636;2020
Região Nordeste;Pernambuco;2,674;2011
Região Nordeste;Pernambuco;2,72375;2012
Região Nordeste;Pernambuco;2,834333333;2013
Região Nordeste;Pernambuco;2,934083333;2014
Região Nordeste;Pernambuco;3,376083333;2015
Região Nordeste;Pernambuco;3,695333333;2016
Região Nordeste;Pernambuco;3,672583333;2017
Região Nordeste;Pernambuco;4,3;2018
Região Nordeste;Pernambuco;4,323333333;2019
Região Nordeste;Pernambuco;4,269363636;2020
Região Nordeste;Alagoas;2,825;2011
Região Nordeste;Alagoas;2,763;2012
Região Nordeste;Alagoas;2,885333333;2013
Região Nordeste;Alagoas;3,002416667;2014
Região Nordeste;Alagoas;3,382333333;2015
Região Nordeste;Alagoas;3,777583333;2016
Região Nordeste;Alagoas;3,883916667;2017
Região Nordeste;Alagoas;4,542916667;2018
Região Nordeste;Alagoas;4,5245;2019
Região Nordeste;Alagoas;4,412;2020
Região Nordeste;Sergipe;2,727;2011
Região Nordeste;Sergipe;2,748083333;2012
Região Nordeste;Sergipe;2,883916667;2013
Região Nordeste;Sergipe;2,936583333;2014
Região Nordeste;Sergipe;3,366333333;2015
Região Nordeste;Sergipe;3,676166667;2016
Região Nordeste;Sergipe;3,707416667;2017
Região Nordeste;Sergipe;4,41525;2018
Região Nordeste;Sergipe;4,38725;2019
Região Nordeste;Sergipe;4,417;2020
Região Nordeste;Bahia;2,753;2011
Região Nordeste;Bahia;2,734416667;2012
Região Nordeste;Bahia;2,89825;2013
Região Nordeste;Bahia;3,017;2014
Região Nordeste;Bahia;3,515;2015
Região Nordeste;Bahia;3,775666667;2016
Região Nordeste;Bahia;3,816;2017
Região Nordeste;Bahia;4,511083333;2018
Região Nordeste;Bahia;4,550166667;2019
Região Nordeste;Bahia;4,356181818;2020
Região Sudeste;Minas Gerais;2,789;2011
Região Sudeste;Minas Gerais;2,811333333;2012
Região Sudeste;Minas Gerais;2,890833333;2013
Região Sudeste;Minas Gerais;2,976333333;2014
Região Sudeste;Minas Gerais;3,372916667;2015
Região Sudeste;Minas Gerais;3,71325;2016
Região Sudeste;Minas Gerais;3,848666667;2017
Região Sudeste;Minas Gerais;4,67025;2018
Região Sudeste;Minas Gerais;4,660583333;2019
Região Sudeste;Minas Gerais;4,446636364;2020
Região Sudeste;Espírito Santo;2,869;2011
Região Sudeste;Espírito Santo;2,831416667;2012
Região Sudeste;Espírito Santo;2,890833333;2013
Região Sudeste;Espírito Santo;3,001916667;2014
Região Sudeste;Espírito Santo;3,3815;2015
Região Sudeste;Espírito Santo;3,676333333;2016
Região Sudeste;Espírito Santo;3,774416667;2017
Região Sudeste;Espírito Santo;4,37525;2018
Região Sudeste;Espírito Santo;4,458666667;2019
Região Sudeste;Espírito Santo;4,204090909;2020
Região Sudeste;Rio de Janeiro;2,835;2011
Região Sudeste;Rio de Janeiro;2,853;2012
Região Sudeste;Rio de Janeiro;2,997416667;2013
Região Sudeste;Rio de Janeiro;3,133;2014
Região Sudeste;Rio de Janeiro;3,547166667;2015
Região Sudeste;Rio de Janeiro;3,918916667;2016
Região Sudeste;Rio de Janeiro;4,107416667;2017
Região Sudeste;Rio de Janeiro;4,851833333;2018
Região Sudeste;Rio de Janeiro;4,855583333;2019
Região Sudeste;Rio de Janeiro;4,761454545;2020
Região Sudeste;São Paulo;2,642;2011
Região Sudeste;São Paulo;2,636833333;2012
Região Sudeste;São Paulo;2,734583333;2013
Região Sudeste;São Paulo;2,865833333;2014
Região Sudeste;São Paulo;3,186;2015
Região Sudeste;São Paulo;3,4995;2016
Região Sudeste;São Paulo;3,57925;2017
Região Sudeste;São Paulo;4,193;2018
Região Sudeste;São Paulo;4,135833333;2019
Região Sudeste;São Paulo;4,091;2020
Região Sul;Paraná;2,678;2011
Região Sul;Paraná;2,685833333;2012
Região Sul;Paraná;2,8375;2013
Região Sul;Paraná;2,953333333;2014
Região Sul;Paraná;3,292;2015
Região Sul;Paraná;3,632333333;2016
Região Sul;Paraná;3,695;2017
Região Sul;Paraná;4,2725;2018
Região Sul;Paraná;4,172416667;2019
Região Sul;Paraná;4,023;2020
Região Sul;Santa Catarina;2,725;2011
Região Sul;Santa Catarina;2,72025;2012
Região Sul;Santa Catarina;2,848833333;2013
Região Sul;Santa Catarina;2,957083333;2014
Região Sul;Santa Catarina;3,257833333;2015
Região Sul;Santa Catarina;3,518083333;2016
Região Sul;Santa Catarina;3,6565;2017
Região Sul;Santa Catarina;4,102583333;2018
Região Sul;Santa Catarina;4,076416667;2019
Região Sul;Santa Catarina;4,154636364;2020
Região Sul;Rio Grande do Sul;2,755;2011
Região Sul;Rio Grande do Sul;2,759;2012
Região Sul;Rio Grande do Sul;2,866916667;2013
Região Sul;Rio Grande do Sul;2,961583333;2014
Região Sul;Rio Grande do Sul;3,357333333;2015
Região Sul;Rio Grande do Sul;3,874166667;2016
Região Sul;Rio Grande do Sul;3,912666667;2017
Região Sul;Rio Grande do Sul;4,5865;2018
Região Sul;Rio Grande do Sul;4,513833333;2019
Região Sul;Rio Grande do Sul;4,348363636;2020
Região Centro-Oeste;Mato Grosso do Sul;2,729;2011
Região Centro-Oeste;Mato Grosso do Sul;2,78075;2012
Região Centro-Oeste;Mato Grosso do Sul;3,000166667;2013
Região Centro-Oeste;Mato Grosso do Sul;3,076916667;2014
Região Centro-Oeste;Mato Grosso do Sul;3,3505;2015
Região Centro-Oeste;Mato Grosso do Sul;3,514083333;2016
Região Centro-Oeste;Mato Grosso do Sul;3,69775;2017
Região Centro-Oeste;Mato Grosso do Sul;4,2425;2018
Região Centro-Oeste;Mato Grosso do Sul;4,1405;2019
Região Centro-Oeste;Mato Grosso do Sul;4,321181818;2020
Região Centro-Oeste;Mato Grosso;2,892;2011
Região Centro-Oeste;Mato Grosso;2,970083333;2012
Região Centro-Oeste;Mato Grosso;3,017583333;2013
Região Centro-Oeste;Mato Grosso;3,10975;2014
Região Centro-Oeste;Mato Grosso;3,385416667;2015
Região Centro-Oeste;Mato Grosso;3,72025;2016
Região Centro-Oeste;Mato Grosso;3,80675;2017
Região Centro-Oeste;Mato Grosso;4,503666667;2018
Região Centro-Oeste;Mato Grosso;4,496;2019
Região Centro-Oeste;Mato Grosso;4,341636364;2020
Região Centro-Oeste;Goiás;2,849;2011
Região Centro-Oeste;Goiás;2,767083333;2012
Região Centro-Oeste;Goiás;2,89525;2013
Região Centro-Oeste;Goiás;3,1005;2014
Região Centro-Oeste;Goiás;3,407916667;2015
Região Centro-Oeste;Goiás;3,80975;2016
Região Centro-Oeste;Goiás;3,923416667;2017
Região Centro-Oeste;Goiás;4,6065;2018
Região Centro-Oeste;Goiás;4,522333333;2019
Região Centro-Oeste;Goiás;4,434454545;2020
Região Centro-Oeste;Distrito Federal;2,832;2011
Região Centro-Oeste;Distrito Federal;2,835833333;2012
Região Centro-Oeste;Distrito Federal;2,981666667;2013
Região Centro-Oeste;Distrito Federal;3,123416667;2014
Região Centro-Oeste;Distrito Federal;3,542166667;2015
Região Centro-Oeste;Distrito Federal;3,691083333;2016
Região Centro-Oeste;Distrito Federal;3,74775;2017
Região Centro-Oeste;Distrito Federal;4,453666667;2018
Região Centro-Oeste;Distrito Federal;4,288583333;2019
Região Centro-Oeste;Distrito Federal;4,200181818;2020
